author	year	paper_id	bee_id	bee_genus	bee_species	top5position	controlled_for_contamination	genus	average_relative_abundance
Cohen	2020	1	1	Osmia	lignaria	Genus_273	Yes	uncultured Rhodospirillaceae bacterium	0.0000790583
Cohen	2020	1	1	Osmia	lignaria	Genus_274	Yes	Gemmobacter	0.0000773067
Cohen	2020	1	1	Osmia	lignaria	Genus_275	Yes	Brachybacterium	0.0000755460
Cohen	2020	1	1	Osmia	lignaria	Genus_276	Yes	OM27 clade	0.0000737914
Cohen	2020	1	1	Osmia	lignaria	Genus_277	Yes	Phaselicystis	0.0000737914
Cohen	2020	1	1	Osmia	lignaria	Genus_278	Yes	Fibrella	0.0000737883
Cohen	2020	1	1	Osmia	lignaria	Genus_279	Yes	Kineosporia	0.0000721012
Cohen	2020	1	1	Osmia	lignaria	Genus_280	Yes	Oligoflexus	0.0000720644
Cohen	2020	1	1	Osmia	lignaria	Genus_281	Yes	Romboutsia	0.0000720429
Cohen	2020	1	1	Osmia	lignaria	Genus_282	Yes	IMCC26207	0.0000720337
Cohen	2020	1	1	Osmia	lignaria	Genus_283	Yes	Flavihumibacter	0.0000702761
Cohen	2020	1	1	Osmia	lignaria	Genus_284	Yes	Ilumatobacteraceae_unclassified	0.0000702730
